Ação,Título,URL,Data,Horário,Sentimento antes PLN,Sentimento depois PLN,Preço anterior,Preço,Preço Posterior 
MGLU3.SA,Fiesp e Abrainc aumentam pressão sobre BC na véspera da decisão do Copom,https://br.investing.com/news/stock-market-news/fiesp-e-abrainc-aumentam-pressao-sobre-bc-na-vespera-da-decisao-do-copom-1124180,2023-06-20,20:50,-0.6808,0.3818,3.73,3.68,3.76
MGLU3.SA,Vale (VALE3) é a ação mais recomendada nas carteiras semanais; veja lista,https://br.investing.com/news/general/vale-vale3-e-a-acao-mais-recomendada-nas-carteiras-semanais-veja-lista-1123658,2023-06-19,15:19,0.5859,0.5859,3.71,3.73,3.68
MGLU3.SA,Selic: Copom define juros na quarta-feira; expectativa é de manutenção da taxa,https://br.investing.com/news/economic-indicators/selic-copom-define-juros-na-quartafeira-expectativa-e-de-manutencao-da-taxa-1123118,2023-06-16,13:54,-0.9413,0.0,3.75,3.71,3.73
MGLU3.SA,"Ibovespa sobe 1,80%, a 112,5 mil pontos, no maior nível desde 31 de janeiro",https://br.investing.com/news/stock-market-news/ibovespa-sobe-180-a-1125-mil-pontos-no-maior-nivel-desde-31-de-janeiro-1119580,2023-06-03,05:00,-0.9732,0.5859,4.06,3.89,3.89
MGLU3.SA,Ibovespa tem forte alta e garante mais um desempenho positivo na semana,https://br.investing.com/news/stock-market-news/ibovespa-tem-forte-alta-e-garante-mais-um-desempenho-positivo-na-semana-1119567,2023-06-02,17:44,-0.7506,0.5859,4.06,4.06,3.89
MGLU3.SA,Ibovespa testa 113 mil pontos pela 1ª vez desde fevereiro,https://br.investing.com/news/stock-market-news/ibovespa-testa-113-mil-pontos-pela-1a-vez-desde-fevereiro-1119438,2023-06-02,11:17,-0.9081,0.0,4.06,4.06,3.89
MGLU3.SA,"Ibovespa inicia junho em alta de 2,06%, aos 110,5 mil pontos",https://br.investing.com/news/stock-market-news/ibovespa-inicia-junho-em-alta-de-206-aos-1105-mil-pontos-1119283,2023-06-02,05:00,-0.9432,0.5859,4.06,4.06,3.89
MGLU3.SA,Vale (VALE3) é a queridinha das carteiras desta semana; veja o ranking,https://br.investing.com/news/general/vale-vale3-e-a-queridinha-das-carteiras-desta-semana-veja-o-ranking-1118128,2023-05-29,13:57,0.0,0.0,3.82,3.79,3.73
MGLU3.SA,Ibovespa fecha em alta e caminha para contrariar ditado sobre desempenho fraco em maio,https://br.investing.com/news/stock-market-news/ibovespa-fecha-em-alta-e-caminha-para-contrariar-ditado-sobre-desempenho-fraco-em-maio-1117550,2023-05-25,17:09,-0.9643,-0.0772,3.63,3.76,3.82
MGLU3.SA,Ibovespa retoma viés positivo com apoio do IPCA-15,https://br.investing.com/news/stock-market-news/ibovespa-retoma-vies-positivo-com-apoio-do-ipca15-1117405,2023-05-25,11:16,-0.9638,0.3818,3.63,3.76,3.82
MGLU3.SA,Ibovespa recua e perde patamar dos 110 mil pontos com exterior desfavorável,https://br.investing.com/news/stock-market-news/ibovespa-recua-e-perde-patamar-dos-110-mil-pontos-com-exterior-desfavoravel-1117036,2023-05-24,11:24,-0.9744,0.0,3.66,3.63,3.76
MGLU3.SA,"Ibovespa acompanha Nova York e cai 0,26%, aos 109,9 mil pontos",https://br.investing.com/news/stock-market-news/ibovespa-acompanha-nova-york-e-cai-026-aos-1099-mil-pontos-1116841,2023-05-24,05:00,-0.9517,0.0,3.66,3.63,3.76
MGLU3.SA,"Ibovespa fecha em queda pressionado por Vale, mas alta de Petrobras atenua perda",https://br.investing.com/news/stock-market-news/ibovespa-fecha-em-queda-pressionado-por-vale-mas-alta-de-petrobras-atenua-perda-1116797,2023-05-23,17:05,-0.9517,0.3612,3.8,3.66,3.63
