Ação,Título,URL,Data,Horário,Sentimento antes PLN,Sentimento depois PLN,Preço anterior,Preço,Preço Posterior 
CVCB3.SA,Ibovespa fecha com declínio discreto e volume reduzido; BB Seguridade sobe após balanço,https://br.investing.com/news/stock-market-news/ibovespa-fecha-com-declinio-discreto-e-volume-reduzido-bb-seguridade-sobe-apos-balanco-1141455,2023-08-07,17:05,-0.9799,-0.25,3.02,2.9,2.88
CVCB3.SA,"Ibovespa ensaia alta, mas perde fôlego e recua com ações da Vale, siderúrgicas e consumo",https://br.investing.com/news/stock-market-news/ibovespa-ensaia-alta-mas-perde-folego-e-recua-com-acoes-da-vale-siderurgicas-e-consumo-1141272,2023-08-07,08:19,-0.6808,0.0,3.02,2.9,2.88
CVCB3.SA,Ações: Ibovespa oscila nesta segunda,https://br.investing.com/news/stock-market-news/acoes-ibovespa-oscila-nesta-segunda-1141229,2023-08-07,10:29,-0.8516,0.0,3.02,2.9,2.88
CVCB3.SA,"Itaú, BB, Eletrobras, BTG, Oi, Azul e mais empresas divulgam dados semana que vem",https://br.investing.com/news/stock-market-news/itau-bb-eletrobras-btg-oi-azul-e-mais-empresas-divulgam-dados-semana-que-vem-1140768,2023-08-04,17:04,-0.296,0.0,3.03,3.02,2.9
CVCB3.SA,"Ibovespa recua com ajustes, mas Petrobras atenua perda",https://br.investing.com/news/stock-market-news/ibovespa-recua-com-ajustes-mas-petrobras-atenua-perda-1125764,2023-06-26,10:28,-0.6875,0.3818,3.79,3.49,3.41
CVCB3.SA,Day Trade na B3: O que comprar e vender nesta segunda-feira,https://br.investing.com/news/general/day-trade-na-b3-o-que-comprar-e-vender-nesta-segundafeira-1125407,2023-06-23,18:59,-0.8807,-0.8807,3.83,3.79,3.49
CVCB3.SA,"CVC Brasil precifica ""follow-on"" em R$3,30 por ação",https://br.investing.com/news/stock-market-news/cvc-brasil-precifica-followon-em-r330-por-acao-1125154,2023-06-23,07:42,-0.296,0.0,3.83,3.79,3.49
CVCB3.SA,Ibovespa recua pelo 2º dia e pode ter 1ª queda semanal desde abril,https://br.investing.com/news/stock-market-news/ibovespa-recua-pelo-2o-dia-e-pode-ter-1a-queda-semanal-desde-abril-1125251,2023-06-23,11:30,-0.9565,-0.4404,3.83,3.79,3.49
CVCB3.SA,Ações: Ibovespa ronda estabilidade nesta sexta,https://br.investing.com/news/stock-market-news/acoes-ibovespa-ronda-estabilidade-nesta-sexta-1125225,2023-06-23,10:32,-0.7783,0.0,3.83,3.79,3.49
CVCB3.SA,Abertura de mercado: o que esperar do Ibovespa e dólar nesta 6ª-feira,https://br.investing.com/news/stock-market-news/abertura-de-mercado-o-que-esperar-do-ibovespa-e-dolar-nesta-6afeira-1125186,2023-06-23,09:15,-0.6767,0.7757,3.83,3.79,3.49
CVCB3.SA,Ibovespa fecha em queda com ajustes após BC não se comprometer a cortar Selic em agosto,https://br.investing.com/news/stock-market-news/ibovespa-fecha-em-queda-com-ajustes-apos-bc-nao-se-comprometer-a-cortar-selic-em-agosto-1124984,2023-06-22,17:05,-0.9813,-0.3182,3.97,3.83,3.79
CVCB3.SA,Ações: Ibovespa perde 1% nesta quinta,https://br.investing.com/news/stock-market-news/acoes-ibovespa-perde-1-nesta-quinta-1124795,2023-06-22,10:46,-0.9413,0.0,3.97,3.83,3.79
CVCB3.SA,Petrobras leva Ibovespa a 120 mil pontos pela 1ª vez desde abril de 2022,https://br.investing.com/news/stock-market-news/petrobras-leva-ibovespa-a-120-mil-pontos-pela-1a-vez-desde-abril-de-2022-1124604,2023-06-22,05:00,-0.7783,0.0,3.97,3.83,3.79
CVCB3.SA,Ibovespa fecha na máxima desde abril de 2022 à espera do BC; Petrobras ajuda,https://br.investing.com/news/stock-market-news/ibovespa-fecha-na-maxima-desde-abril-de-2022-a-espera-do-bc-petrobras-ajuda-1124548,2023-06-21,17:04,-0.9526,0.6369,4.19,3.97,3.83
CVCB3.SA,"Ações: Gol, Rumo e B3 apresentam piores perdas do Ibovespa; índice cai",https://br.investing.com/news/stock-market-news/acoes-gol-rumo-e-b3-apresentam-piores-perdas-do-ibovespa-indice-cai-1122599,2023-06-15,10:31,-0.8807,0.0,4.1,4.26,4.5
CVCB3.SA,"Ibovespa renova pico do ano com S&P, apesar de queda da Petrobras",https://br.investing.com/news/stock-market-news/ibovespa-renova-pico-do-ano-com-sp-apesar-de-queda-da-petrobras-1122869,2023-06-15,05:00,-0.8402,0.0,4.1,4.26,4.5
CVCB3.SA,Ibovespa sobe a 119 mil pontos após melhora da perspectiva da S&P para Brasil,https://br.investing.com/news/stock-market-news/ibovespa-sobe-a-119-mil-pontos-apos-melhora-da-perspectiva-da-sp-para-brasil-1122422,2023-06-15,05:00,-0.8126,-0.1531,4.1,4.26,4.5
CVCB3.SA,Ibovespa avança e fecha acima dos 119 mil pontos em dia com Fed e S&P,https://br.investing.com/news/stock-market-news/ibovespa-avanca-e-fecha-na-maxima-desde-outubro-de-2022-em-dia-com-fed-e-sp-1122376,2023-06-14,17:15,-0.8679,0.0,4.18,4.1,4.26
CVCB3.SA,Ibovespa avança e fecha acima dos 119 mil pontos em dia com Fed e S&P,https://br.investing.com/news/stock-market-news/ibovespa-avanca-e-fecha-acima-dos-119-mil-pontos-em-dia-com-fed-e-sp-1122403,2023-06-14,18:02,-0.8679,0.0,4.18,4.1,4.26
CVCB3.SA,"Ibovespa cede 0,51% com avanço dos juros e interrompe sequência de 7 altas",https://br.investing.com/news/stock-market-news/ibovespa-cede-051-com-avanco-dos-juros-e-interrompe-sequencia-de-7-altas-1121986,2023-06-14,05:00,0.8481,0.936,4.18,4.1,4.26
CVCB3.SA,"Ibovespa fecha em queda de 0,51% com realização de lucros após 7 altas seguidas",https://br.investing.com/news/stock-market-news/ibovespa-fecha-em-queda-de-051-com-realizacao-de-lucros-apos-7-altas-seguidas-1121968,2023-06-13,17:51,0.6486,0.9559,4.49,4.18,4.1
CVCB3.SA,Ibovespa titubeia após encostar em 118 mil pontos com exterior favorável,https://br.investing.com/news/stock-market-news/ibovespa-titubeia-apos-encostar-em-118-mil-pontos-com-exterior-favoravel-1121765,2023-06-13,10:09,-0.6875,0.7845,4.49,4.18,4.1
CVCB3.SA,Ações: Ibovespa ronda estabilidade nesta segunda,https://br.investing.com/news/stock-market-news/acoes-ibovespa-ronda-estabilidade-nesta-segunda-1121385,2023-06-12,10:41,-0.4588,0.3818,4.57,4.49,4.18
CVCB3.SA,"CVCB3, AZUL4 e GOLL4: Ações de turismo sobem com otimismo no setor",https://br.investing.com/news/stock-market-news/cvcb3-azul4-e-goll4-acoes-de-turismo-sobem-com-otimismo-no-setor-1121126,2023-06-09,15:24,-0.5859,0.6369,4.57,4.57,4.49
CVCB3.SA,"Ações: CVC, Magazine Luiza e Braskem lideram altas do Ibovespa; índice sobe",https://br.investing.com/news/stock-market-news/acoes-cvc-magazine-luiza-e-braskem-lideram-altas-do-ibovespa-indice-sobe-1119797,2023-06-05,10:35,-0.8402,0.0,3.6,3.99,4.2
CVCB3.SA,Abertura de mercado: o que esperar do Ibovespa e dólar nesta 2ª-feira,https://br.investing.com/news/stock-market-news/abertura-de-mercado-o-que-esperar-do-ibovespa-e-dolar-nesta-2afeira-1119758,2023-06-05,09:20,-0.8271,0.7964,3.6,3.99,4.2
CVCB3.SA,CVC elege Fabio Godinho como presidente e faz acordo com fundador para aporte de R$75 mi,https://br.investing.com/news/stock-market-news/cvc-elege-fabio-godinho-como-presidente-e-faz-acordo-com-fundador-para-aporte-de-r75-mi-1119605,2023-06-02,21:32,-0.7351,0.4215,3.63,3.6,3.99
CVCB3.SA,"CVC avalia oferta de ações e conversa com investidores ""estratégicos""",https://br.investing.com/news/stock-market-news/cvc-avalia-oferta-de-acoes-e-conversa-com-investidores-estrategicos-1119392,2023-06-02,09:52,-0.296,0.0,3.63,3.6,3.99
CVCB3.SA,Ibovespa tem forte alta e garante mais um desempenho positivo na semana,https://br.investing.com/news/stock-market-news/ibovespa-tem-forte-alta-e-garante-mais-um-desempenho-positivo-na-semana-1119567,2023-06-02,17:44,-0.7506,0.5859,3.63,3.6,3.99
CVCB3.SA,Ibovespa testa 113 mil pontos pela 1ª vez desde fevereiro,https://br.investing.com/news/stock-market-news/ibovespa-testa-113-mil-pontos-pela-1a-vez-desde-fevereiro-1119438,2023-06-02,11:17,-0.9081,0.0,3.63,3.6,3.99
CVCB3.SA,Ações:  Ibovespa sobe quase 2% nesta sexta,https://br.investing.com/news/stock-market-news/acoes-ibovespa-sobe-quase-2-nesta-sexta-1119415,2023-06-02,10:36,-0.25,0.8481,3.63,3.6,3.99
CVCB3.SA,"Ibovespa inicia junho em alta de 2,06%, aos 110,5 mil pontos",https://br.investing.com/news/stock-market-news/ibovespa-inicia-junho-em-alta-de-206-aos-1105-mil-pontos-1119283,2023-06-02,05:00,-0.9432,0.5859,3.63,3.6,3.99
CVCB3.SA,Ibovespa fecha em alta de 2% com PIB acima do previsto e exterior favorável,https://br.investing.com/news/stock-market-news/ibovespa-fecha-em-alta-de-2-com-pib-acima-do-previsto-e-exterior-favoravel-1119228,2023-06-01,17:05,-0.9618,0.2023,3.38,3.63,3.6
CVCB3.SA,"Ibovespa cai 0,58%, aos 108,3 mil pontos, mas avança 3,74% em maio",https://br.investing.com/news/stock-market-news/ibovespa-cai-058-aos-1083-mil-pontos-mas-avanca-374-em-maio-1118885,2023-06-01,05:00,-0.9846,0.25,3.38,3.63,3.6
CVCB3.SA,"Ações:  Gol, CVC e Vale apresentam maiores altas do Ibovespa; índice sobe",https://br.investing.com/news/stock-market-news/acoes-gol-cvc-e-vale-apresentam-maiores-altas-do-ibovespa-indice-sobe-1117725,2023-05-26,10:33,-0.4939,-0.25,2.68,2.98,3.1
CVCB3.SA,"Após série negativa, Ibovespa volta a subir (+1,15%), de volta aos 110 mil",https://br.investing.com/news/stock-market-news/apos-serie-negativa-ibovespa-volta-a-subir-115-de-volta-aos-110-mil-1117592,2023-05-26,05:00,-0.9776,0.0,2.68,2.98,3.1
CVCB3.SA,"CVC: conselho elege Carlos Wollenweber, ex-Even, para o cargo de diretor financeiro e de RI",https://br.investing.com/news/stock-market-news/cvc-conselho-elege-carlos-wollenweber-exeven-para-o-cargo-de-diretor-financeiro-e-de-ri-1117622,2023-05-25,21:05,-0.296,0.0,2.81,2.68,2.98
CVCB3.SA,CVC (CVCB3) desaba após renúncia de CEO e lidera perdas do Ibov,https://br.investing.com/news/stock-market-news/cvc-cvcb3-desaba-apos-renuncia-de-ceo-e-lidera-perdas-do-ibov-1117451,2023-05-25,13:04,-0.5267,0.0,2.81,2.68,2.98
CVCB3.SA,Ibovespa fecha em alta e caminha para contrariar ditado sobre desempenho fraco em maio,https://br.investing.com/news/stock-market-news/ibovespa-fecha-em-alta-e-caminha-para-contrariar-ditado-sobre-desempenho-fraco-em-maio-1117550,2023-05-25,17:09,-0.9643,-0.0772,2.81,2.68,2.98
CVCB3.SA,"Presidente da CVC, Leonel Andrade, renuncia ao cargo",https://br.investing.com/news/stock-market-news/presidente-da-cvc-leonel-andrade-renuncia-ao-cargo-1117257,2023-05-25,07:50,-0.6808,0.0,2.81,2.68,2.98
CVCB3.SA,Ibovespa retoma viés positivo com apoio do IPCA-15,https://br.investing.com/news/stock-market-news/ibovespa-retoma-vies-positivo-com-apoio-do-ipca15-1117405,2023-05-25,11:16,-0.9638,0.3818,2.81,2.68,2.98
CVCB3.SA,Ações: Ibovespa sobe mais de 1% nesta quinta,https://br.investing.com/news/stock-market-news/acoes-ibovespa-sobe-mais-de-1-nesta-quinta-1117377,2023-05-25,10:34,0.0,0.0,2.81,2.68,2.98
CVCB3.SA,Abertura de mercado: o que esperar do Ibovespa e dólar nesta 5ª-feira,https://br.investing.com/news/stock-market-news/abertura-de-mercado-o-que-esperar-do-ibovespa-e-dolar-nesta-5afeira-1117346,2023-05-25,09:18,-0.5267,0.4767,2.81,2.68,2.98
CVCB3.SA,"Com exterior, Ibovespa emenda 3ª perda e cai 1,03%, aos 108,8 mil pontos",https://br.investing.com/news/stock-market-news/com-exterior-ibovespa-emenda-3a-perda-e-cai-103-aos-1088-mil-pontos-1117217,2023-05-25,05:00,-0.9403,0.5423,2.81,2.68,2.98
