Ação,Título,URL,Data,Horário,Sentimento antes PLN,Sentimento depois PLN,Preço anterior,Preço,Preço Posterior 
JBSS3.SA,Day Trade na B3: O que comprar e vender nesta quinta-feira,https://br.investing.com/news/general/day-trade-na-b3-o-que-comprar-e-vender-nesta-quintafeira-1143245,2023-08-09,20:10,-0.8807,-0.8807,19.47,19.26,19.38
JBSS3.SA,Day Trade na B3: O que comprar e vender nesta quarta-feira,https://br.investing.com/news/general/day-trade-na-b3-o-que-comprar-e-vender-nesta-quartafeira-1142520,2023-08-08,20:20,-0.9081,-0.9081,19.45,19.47,19.26
JBSS3.SA,Ações: Ibovespa recua mais de 1% nesta terça,https://br.investing.com/news/stock-market-news/acoes-ibovespa-recua-mais-de-1-nesta-terca-1141951,2023-08-08,10:28,-0.8807,0.0,19.45,19.47,19.26
JBSS3.SA,Ibovespa fecha com declínio discreto e volume reduzido; BB Seguridade sobe após balanço,https://br.investing.com/news/stock-market-news/ibovespa-fecha-com-declinio-discreto-e-volume-reduzido-bb-seguridade-sobe-apos-balanco-1141455,2023-08-07,17:05,-0.9799,-0.25,19.88,19.45,19.47
JBSS3.SA,Confira as ações mais recomendadas para esta semana,https://br.investing.com/news/general/confira-as-acoes-mais-recomendadas-para-esta-semana-1141440,2023-08-07,16:56,-0.296,0.0,19.88,19.45,19.47
JBSS3.SA,"Ibovespa ensaia alta, mas perde fôlego e recua com ações da Vale, siderúrgicas e consumo",https://br.investing.com/news/stock-market-news/ibovespa-ensaia-alta-mas-perde-folego-e-recua-com-acoes-da-vale-siderurgicas-e-consumo-1141272,2023-08-07,08:19,-0.6808,0.0,19.88,19.45,19.47
JBSS3.SA,Ações: Ibovespa oscila nesta segunda,https://br.investing.com/news/stock-market-news/acoes-ibovespa-oscila-nesta-segunda-1141229,2023-08-07,10:29,-0.8516,0.0,19.88,19.45,19.47
JBSS3.SA,JBS abastecerá lojas da Swift com energia elétrica do biogás de unidades da Friboi,https://br.investing.com/news/stock-market-news/jbs-abastecera-lojas-da-swift-com-energia-eletrica-do-biogas-de-unidades-da-friboi-1140013,2023-08-03,16:02,0.7717,0.8779,19.5,19.66,19.88
JBSS3.SA,Ibovespa tem queda discreta com expectativa sobre Selic atenuando exterior negativo,https://br.investing.com/news/stock-market-news/ibovespa-tem-queda-discreta-com-expectativa-sobre-selic-atenuando-exterior-negativo-1139133,2023-08-02,17:08,-0.984,-0.25,19.02,19.5,19.66
JBSS3.SA,"JBS elege Kátia Abreu, Paulo Bernardo e Cledorvino Belini para conselho de administração",https://br.investing.com/news/stock-market-news/jbs-elege-katia-abreu-paulo-bernardo-e-cledorvino-belini-para-conselho-de-administracao-1134091,2023-07-21,08:41,0.0,0.0,18.05,18.1,17.89
JBSS3.SA,"JBS: conselho elege Kátia Abreu, Paulo Bernardo e Cledorvino Belini como membros independentes",https://br.investing.com/news/stock-market-news/jbs-conselho-elege-katia-abreu-paulo-bernardo-e-cledorvino-belini-como-membros-independentes-1134078,2023-07-21,04:48,-0.5267,0.0,18.05,18.1,17.89
JBSS3.SA,"Ações: Natura, Multiplan e Prio lideram altas do Ibovespa; índice sobe",https://br.investing.com/news/stock-market-news/acoes-natura-multiplan-e-prio-lideram-altas-do-ibovespa-indice-sobe-1134150,2023-07-21,10:27,-0.7959,0.0,18.05,18.1,17.89
JBSS3.SA,Abertura de mercado: o que esperar do Ibovespa e dólar nesta 6ª-feira,https://br.investing.com/news/stock-market-news/abertura-de-mercado-o-que-esperar-do-ibovespa-e-dolar-nesta-6afeira-1134113,2023-07-21,09:14,-0.89,0.0,18.05,18.1,17.89
JBSS3.SA,Petrobras paralisa ação alegando conflito de interesses de advogado,https://br.investing.com/news/stock-market-news/petrobras-paralisa-acao-alegando-conflito-de-interesses-de-advogado-1133666,2023-07-20,05:28,-0.4019,0.6705,18.21,18.05,18.1
JBSS3.SA,"Ações: Pão de Açúcar, Localiza e Alpargatas lideram baixas do Ibovespa",https://br.investing.com/news/stock-market-news/acoes-pao-de-acucar-localiza-e-alpargatas-lideram-baixas-do-ibovespa-1133239,2023-07-19,10:55,0.8384,0.9259,18.22,18.21,18.05
JBSS3.SA,"Ibovespa cai 0,32%, aos 117,8 mil pontos, com poucos catalisadores na sessão",https://br.investing.com/news/stock-market-news/ibovespa-cai-032-aos-1178-mil-pontos-com-poucos-catalisadores-na-sessao-1132997,2023-07-18,14:42,-0.988,0.2732,18.74,18.22,18.21
JBSS3.SA,"Com embargo do Japão, companhias têm desafio de realocar exportações de frango",https://br.investing.com/news/stock-market-news/com-embargo-do-japao-companhias-tem-desafio-de-realocar-exportacoes-de-frango-1132874,2023-07-18,14:02,-0.9451,0.25,18.74,18.22,18.21
JBSS3.SA,JBS reinaugura fábrica no MT com processamento inicial de 300 cabeças,https://br.investing.com/news/stock-market-news/jbs-reinaugura-fabrica-no-mt-com-processamento-inicial-de-300-cabecas-1132820,2023-07-18,11:21,-0.8807,0.0,18.74,18.22,18.21
